Goalie,GP,MIN,GA,GAA,SAVE,PCT,W-L-T
"Guyette, Daniella",7,78:38,10,7.63,11,0.524,0-0-0
"Sweitzer, Delaney",22,1236:25,198,9.61,142,0.418,16-6-0
